Comercio Informal,,,,
Unidad,Nombre Unidad,Zona Coplademun,Giro,Cantidad
1,12 de diciembre,7,ALIMENTOS ,3
1,12 de diciembre,7,FLORES,1
2,27 de Septiembre,1B,ALIMENTOS,2
5,Agraria,1A,COMIDA RAPIDA,1
6,"Agrícola, La",8,ALIMENTOS,4
7,Agua Blanca Poblado,8,ALIMENTOS,2
7,Agua Blanca Poblado,8,ROPA,1
8,Agua Blanca Industrial,8,ALIMENTOS,2
9,Agua Blanca Sur,8,ALIMENTOS,5
9,Agua Blanca Sur,8,FERRETERIA,1
10,Agua Fría,2A,ALIMENTOS,2
11,"Águilas, Las",6,ACCESORIOS PERSONALES,3
11,"Águilas, Las",6,AGENCIAS DE PRONOSTICOS,1
11,"Águilas, Las",6,ALIMENTOS,41
11,"Águilas, Las",6,ARTESANIAS,1
11,"Águilas, Las",6,ARTICULOS DE LIMPIEZA,1
11,"Águilas, Las",6,BISUTERIA,1
11,"Águilas, Las",6,CERRAJERIA,1
11,"Águilas, Las",6,COSMETICOS,1
11,"Águilas, Las",6,FLORES,3
11,"Águilas, Las",6,LENTES Y ACCESORIOS,1
11,"Águilas, Las",6,LLANTERA,1
11,"Águilas, Las",6,PARA LA ASISTENSIA PUBLICA,1
12,"Agujas, Las",RS,ALIMENTOS,4
13,Alameda de Tesistán,2A,ALIMENTOS,2
16,Altagracia,3,ALIMENTOS,7
16,Altagracia,3,PROMOCIÓN,1
17,Altamira,1A,ALIMENTOS,1
18,"Arboleda, La",1A,ALIMENTOS,2
19,Arboledas,6,ALIMENTOS,4
19,Arboledas,6,FLORES,2
19,Arboledas,6,NOVEDADES,1
20,Arcos de Guadalupe,5A,ALIMENTOS,3
20,Arcos de Guadalupe,5A,JUGUETES,1
20,Arcos de Guadalupe,5A,PROMOCION,1
21,Arcos de Zapopan,3,ALIMENTOS,11
21,Arcos de Zapopan,3,PROMOCION,1
21,Arcos de Zapopan,3,RECLUTAMIENTO PERSONAL,1
22,Arenales Tapatíos ,7,ACCESORIOS,1
22,Arenales Tapatíos ,7,ALIMENTOS,7
22,Arenales Tapatíos ,7,DULCERIA,1
23,Arroyo Hondo 1ra. Sección,2A,ALIMENTOS,25
23,Arroyo Hondo 1ra. Sección,2A,ARTICULOS DE MADERA,1
23,Arroyo Hondo 1ra. Sección,2A,PLASTICOS,1
25,Atemajac del Valle,1B,ALIMENTOS,49
25,Atemajac del Valle,1B,ARTICULOS PARA EL HOGAR,1
25,Atemajac del Valle,1B,JUGUETES,1
25,Atemajac del Valle,1B,LACTEOS,1
25,Atemajac del Valle,1B,PLANTAS,1
27,Atlas Chapalita,5A,"BOTANAS, FRUTA PICADA Y FRITURAS",1
28,"Aurora, La",1B,ALIMENTOS,2
31,"Bajío, El",RS,ALIMENTOS,1
32,Balcones de la Cantera,2A,ALIMENTOS,15
34,Balcones del Sol (ó Balcones del Colli),7,ALIMENTOS,4
35,Base Áerea Militar No. 5,4,ALIMENTOS,7
35,Base Áerea Militar No. 5,4,FLORES,3
36,"Batán, El",1B,ALIMENTOS,4
37,Belenes Norte,1B,ALIMENTOS,1
38,Benito Juárez,2B,ACCESORIOS AUTOMOTRICES,1
38,Benito Juárez,2B,ALIMENTOS,29
38,Benito Juárez,2B,CERRAJERIA,1
38,Benito Juárez,2B,PROMOCION,1
39,Benito Juárez Auditorio,2A,ALIMENTOS,87
39,Benito Juárez Auditorio,2A,ARTICULOS RELIGIOSOS,7
39,Benito Juárez Auditorio,2A,FLORES,1
39,Benito Juárez Auditorio,2A,REPARACION DE FRENOS,1
39,Benito Juárez Auditorio,2A,VENTA DE PRODUCTOS COCA COLA,2
40,"Borrego, El",5-A,FLORES,1
41,"Bóvedas, Las",4,ACCESORIOS,2
41,"Bóvedas, Las",4,ALIMENTOS,11
41,"Bóvedas, Las",4,ROPA,11
44,Bosques del Centinela Ejidal,1B,ABARROTES,1
44,Bosques del Centinela Ejidal,1B,ACCESORIOS,1
44,Bosques del Centinela Ejidal,1B,ALIMENTOS,11
44,Bosques del Centinela Ejidal,1B,ARTESANIAS,1
44,Bosques del Centinela Ejidal,1B,ROPA,1
46,"Briseño, El",8,ALIMENTOS,20
46,"Briseño, El",8,COMPRA VENTA DE TARIMAS,1
46,"Briseño, El",8,REGALOS ,1
47,Bugambilias,8,ALIMENTOS,4
48,"Cabañitas, Las",1B,ALIMENTOS,1
48,"Cabañitas, Las",1B,PAPELERIA,1
49,"Cajetes, Los",8,ALIMENTOS,3
49,"Cajetes, Los",8,CERRAJERIA,1
51,"Calma, La",6,ALIMENTOS,21
51,"Calma, La",6,CARNICERIA,1
51,"Calma, La",6,CERRAJERIA,1
51,"Calma, La",6,FLORES,1
51,"Calma, La",6,JOYAS,1
51,"Calma, La",6,MANUALIDADES,1
53,Camichines Vallarta,5A,COMIDA RAPIDA,1
54,Camino Real,5A,ALIMENTOS,5
55,"Campanario, El",8,ALIMENTOS,10
55,"Campanario, El",8,MERCERIA,1
55,"Campanario, El",8,PIÑATAS,1
58,"Canteros, Los",2B,ALIMENTOS,2
58,"Canteros, Los",2B,ARTESANIAS,1
58,"Canteros, Los",2B,MATERIALES PARA CONSTRUCCION,1
59,"Cañadas, Las (ó Bosques de San Isidro)",3,ALIMENTOS,3
59,"Cañadas, Las (ó Bosques de San Isidro)",3,ARTICULOS NAVIDEÑOS,4
60,"Capullo, El",1B,ACCESORIOS PERSONALES,1
60,"Capullo, El",1B,ALIMENTOS,6
61,Carlos Rivera Aceves,7,ALIMENTOS,1
62,"Carrizal, El",1B,- Inexistente -,
63,"Casita, La",4,ALIMENTOS,6
63,"Casita, La",4,NOVEDADES,2
63,"Casita, La",4,RENTA DE MOBILIARIO,1
64,"Centinela, El (ó Colinas del Centinela)",3,ALIMENTOS,2
65,Centro (Cabecera),1A,ABARROTES,1
65,Centro (Cabecera),1A,ACCESORIOS,3
65,Centro (Cabecera),1A,ACCESORIOS PERSONALES,39
65,Centro (Cabecera),1A,ALIMENTOS ,19
65,Centro (Cabecera),1A,ALIMENTOS,187
65,Centro (Cabecera),1A,ANTIGÜEDADES,13
65,Centro (Cabecera),1A,APARATOS ELECTRONICOS Y ELECTRICOS,2
65,Centro (Cabecera),1A,ARTESANIAS,21
65,Centro (Cabecera),1A,ARTICULOS DE LIMPIEZA,1
65,Centro (Cabecera),1A,ARTICULOS DE PIEL,3
65,Centro (Cabecera),1A,ARTICULOS PARA EL HOGAR,2
65,Centro (Cabecera),1A,ARTICULOS RELIGIOSOS,14
65,Centro (Cabecera),1A,ARTIDULOS DE TEMPORADA,1
65,Centro (Cabecera),1A,ASEADOR DE CALZADO,10
65,Centro (Cabecera),1A,BISUTERIA,16
65,Centro (Cabecera),1A,BURBUJAS,9
65,Centro (Cabecera),1A,"CDS, DVD Y CASETES ORIGINALES",4
