LUGAR,MUNICIPIO,CALLE,NÚMERO,NÚMERO INTERIOR,HORARIO,TIPO,ENTIDAD DE GOBIERNO,LATITUD,LONGITUD,INFORMACION COMPLEMENTARIA,FECHA ACTUALIZACIÓN
C.D.F. San Juan de los Lagos,San Juan de los Lagos,Paso de Trujillos,S/N,,7:30 a 15:30,,,21.2474689,-102.33169989999999," San Juan de los Lagos Paso de Trujillos S/N 7:30 a 15:30 21.2474689-102.33169989999999 ",2013-04-23T20:55:43Z
Las Aguilas Unidad Administrativa,Zapopan,"Lopez Mateos Sur ",5150,,Lunes a Viernes de 09:00 a 14:00 hrs.,,,20.631178,-103.416948," Zapopan Lopez Mateos Sur 5150 36348676 Lunes a Viernes de 09:00 a 14:00 hrs. 20.631178-103.416948 ",2015-05-07T17:26:17Z
Módulo externo de recaudación (caja en Plaza las Torres),Guadalajara,Avenida Lázaro Cárdenas,1896," Local 44 Zona M\, Esq. 8 de Julio",de lunes a viernes de 8:30 a 15:30,,,20.6526004,-103.37090619999998," Guadalajara Avenida Lázaro Cárdenas 1896 Local 44 Zona M, Esq. 8 de Julio (33) 3668-1700 de lunes a viernes de 8:30 a 15:30 20.6526004-103.37090619999998 ",2013-04-23T20:55:43Z
Plaza las Torres,Guadalajara,8 de Julio,1896,Local 35 zona M,Lunes a Viernes de 09:00 a 14:00 hrs,,,20.6347925,-103.3665699," Guadalajara 8 de Julio 1896 Local 35 zona M 38192400 ext 12545 Lunes a Viernes de 09:00 a 14:00 hrs 20.6347925-103.3665699 ",2013-04-23T20:55:41Z
Dirección de Visitadurí­a,Guadalajara,Rafael Camacho s/n esquina Tamaulipas. Colonia Observatorio,,,Lunes a Viernes de 08:00 a 21:00 horas.,,,20.6982958,-103.35078720000001," Guadalajara Rafael Camacho s/n esquina Tamaulipas. Colonia Observatorio 44270 3819-2390 y 3837-6000 extensiÃ³n 42390 3819-2390 Lunes a Viernes de 08:00 a 21:00 horas. 20.6982958-103.35078720000001 ",2013-04-23T20:55:44Z
Jefatura de División Delitos Patrimoniales,Guadalajara,Calle 14 entre las calles 3 y 5 Zona Industrial,2567,,Lunes a Viernes de 08:00 a 21:00 horas,,,31.8515607,-116.57282220000002," Guadalajara Calle 14 entre las calles 3 y 5 Zona Industrial 2567 44940 3837-6039, 3837-6000 extensiÃ³n 18580 Lunes a Viernes de 08:00 a 21:00 horas 31.8515607-116.57282220000002 ",2013-04-23T20:55:44Z
Oficinas Administrativas de la Procuradurí­a General de Justicia,Guadalajara,Calle 14 entre las calles 3 y 5 Zona Industrial,2567,,Lunes a Viernes de 09:00 a 21:00 horas,,,31.8515607,-116.57282220000002," Guadalajara Calle 14 entre las calles 3 y 5 Zona Industrial 2567 44940 3837-6000 Lunes a Viernes de 09:00 a 21:00 horas 31.8515607-116.57282220000002 ",2013-07-08T14:50:32Z
"SEMADET | Delegación 11, Valles",Ameca,Av. Jacarandas,27,,Lunes a Viernes de 09:00 a 17:00 hrs.,Oficina de Gobierno,Secretaría de Medio Ambiente y Desarrollo Territorial,20.5468722,-104.0410361," Ameca Av. Jacarandas 27 Arboledas 46600 (384) 733.8098 (384) 733.8098 Lunes a Viernes de 09:00 a 17:00 hrs. Lic. Alma Alicia Lemus García alma.lemus@jalisco.gob.mx 20.5468722-104.0410361 Secretaría de Medio Ambiente y Desarrollo Territorial ",2014-02-21T00:13:55Z
Módulo externo de recaudación (Caja San Andrés),Guadalajara,"Avenida San Andrés ",2516,Piso 1,De lunes a viernes de 8:30 a 15:30,,,20.6514875,-103.30034030000002," Guadalajara Avenida San Andrés 2516 Piso 1 (33) 3643-5321 De lunes a viernes de 8:30 a 15:30 20.6514875-103.30034030000002 ",2013-04-23T20:55:44Z
"SEMADET | Delegación 10, Sierra Occidental",Mascota,López Cotilla,321,1er Piso,Lunes a Viernes de 09:00 a 17:00 hrs.,Oficina de Gobierno,Secretaría de Medio Ambiente y Desarrollo Territorial,20.5304417,-104.7950583," Mascota López Cotilla 321 1er Piso Centro 46900 (388) 386.1264 Ext. 55600 (388) 386.1264 Lunes a Viernes de 09:00 a 17:00 hrs. M. C. Gerardo Lara Gomez gerardo.lara@jalisco.gob.mx 20.5304417-104.7950583 Secretaría de Medio Ambiente y Desarrollo Territorial ",2014-02-21T00:13:44Z
